Part ID,Item Name,Report Time,Lot Mean,Vendor Site,Lot No,Inspector,Equipment
PART-B01,Flatness,2025/01/10 12:00,0.2036,VendorJP,L039,ENG1,EQP-01
PART-B01,Flatness,2025/01/10 18:00,0.1937,VendorJP,L040,ENG1,EQP-02
PART-B01,Flatness,2025/01/11 00:00,0.2182,VendorJP,L041,ENG2,EQP-01
PART-B01,Flatness,2025/01/11 06:00,0.1877,VendorJP,L042,ENG1,EQP-02
PART-B01,Flatness,2025/01/11 12:00,0.1879,VendorJP,L043,ENG1,EQP-02
PART-B01,Flatness,2025/01/11 18:00,0.1924,VendorJP,L044,ENG3,EQP-01
PART-B01,Flatness,2025/01/12 00:00,0.1956,VendorJP,L045,ENG1,EQP-02
PART-B01,Flatness,2025/01/12 06:00,0.1856,VendorJP,L046,ENG1,EQP-04
PART-B01,Flatness,2025/01/12 12:00,0.1758,VendorJP,L047,ENG2,EQP-04
PART-B01,Flatness,2025/01/12 18:00,0.1708,VendorJP,L048,ENG3,EQP-02
PART-B01,Flatness,2025/01/13 00:00,0.192,VendorJP,L049,ENG2,EQP-03
PART-B01,Flatness,2025/01/13 06:00,0.2186,VendorJP,L050,ENG1,EQP-03
PART-B01,Flatness,2025/01/13 12:00,0.2075,VendorJP,L051,ENG3,EQP-01
PART-B01,Flatness,2025/01/13 18:00,0.2081,VendorJP,L052,ENG3,EQP-03
PART-B01,Flatness,2025/01/14 00:00,0.16,VendorJP,L053,ENG1,EQP-03
PART-B01,Flatness,2025/01/14 06:00,0.2035,VendorJP,L054,ENG3,EQP-04
PART-B01,Flatness,2025/01/14 12:00,0.1898,VendorJP,L055,ENG3,EQP-03
PART-B01,Flatness,2025/01/14 18:00,0.1909,VendorJP,L056,ENG2,EQP-04
PART-B01,Flatness,2025/01/15 00:00,0.1789,VendorJP,L057,ENG2,EQP-02
PART-B01,Flatness,2025/01/15 06:00,0.1619,VendorJP,L058,ENG1,EQP-03
PART-B01,Flatness,2025/01/15 12:00,0.2023,VendorJP,L059,ENG3,EQP-01
PART-B01,Flatness,2025/01/15 18:00,0.1975,VendorJP,L060,ENG1,EQP-04
PART-B01,Flatness,2025/01/01 00:00,0.1806,VendorKR,L001,ENG3,EQP-01
PART-B01,Flatness,2025/01/01 06:00,0.2071,VendorKR,L002,ENG3,EQP-03
PART-B01,Flatness,2025/01/01 12:00,0.2119,VendorKR,L003,ENG1,EQP-01
PART-B01,Flatness,2025/01/01 18:00,0.2073,VendorKR,L004,ENG3,EQP-02
PART-B01,Flatness,2025/01/02 00:00,0.2311,VendorKR,L005,ENG1,EQP-01
PART-B01,Flatness,2025/01/02 06:00,0.1841,VendorKR,L006,ENG3,EQP-02
PART-B01,Flatness,2025/01/02 12:00,0.1775,VendorKR,L007,ENG1,EQP-01
PART-B01,Flatness,2025/01/02 18:00,0.2159,VendorKR,L008,ENG1,EQP-03
PART-B01,Flatness,2025/01/03 00:00,0.2313,VendorKR,L009,ENG2,EQP-02
PART-B01,Flatness,2025/01/03 06:00,0.1545,VendorKR,L010,ENG2,EQP-03
PART-B01,Flatness,2025/01/03 12:00,0.2008,VendorKR,L011,ENG1,EQP-01
PART-B01,Flatness,2025/01/03 18:00,0.212,VendorKR,L012,ENG3,EQP-04
PART-B01,Flatness,2025/01/04 00:00,0.2109,VendorKR,L013,ENG1,EQP-01
PART-B01,Flatness,2025/01/04 06:00,0.2457,VendorKR,L014,ENG3,EQP-03
PART-B01,Flatness,2025/01/04 12:00,0.198,VendorKR,L015,ENG3,EQP-04
PART-B01,Flatness,2025/01/04 18:00,0.1947,VendorKR,L016,ENG2,EQP-04
PART-B01,Flatness,2025/01/05 00:00,0.2237,VendorKR,L017,ENG1,EQP-04
PART-B01,Flatness,2025/01/05 06:00,0.2083,VendorKR,L018,ENG3,EQP-04
PART-B01,Flatness,2025/01/05 12:00,0.1817,VendorKR,L019,ENG2,EQP-04
PART-B01,Flatness,2025/01/05 18:00,0.1964,VendorKR,L020,ENG2,EQP-03
PART-B01,Flatness,2025/01/06 00:00,0.2155,VendorKR,L021,ENG2,EQP-04
PART-B01,Flatness,2025/01/06 06:00,0.1994,VendorKR,L022,ENG1,EQP-01
PART-B01,Flatness,2025/01/06 12:00,0.2106,VendorKR,L023,ENG2,EQP-03
PART-B01,Flatness,2025/01/06 18:00,0.1731,VendorKR,L024,ENG2,EQP-02
PART-B01,Flatness,2025/01/07 00:00,0.1906,VendorKR,L025,ENG1,EQP-01
PART-B01,Flatness,2025/01/07 06:00,0.2294,VendorKR,L026,ENG3,EQP-04
PART-B01,Flatness,2025/01/07 12:00,0.2361,VendorKR,L027,ENG3,EQP-04
PART-B01,Flatness,2025/01/07 18:00,0.2403,VendorKR,L028,ENG2,EQP-03
PART-B01,Flatness,2025/01/08 00:00,0.2074,VendorKR,L029,ENG3,EQP-02
PART-B01,Flatness,2025/01/08 06:00,0.1823,VendorKR,L030,ENG1,EQP-02
PART-B01,Flatness,2025/01/08 12:00,0.2034,VendorKR,L031,ENG3,EQP-04
PART-B01,Flatness,2025/01/08 18:00,0.1867,VendorKR,L032,ENG3,EQP-02
PART-B01,Flatness,2025/01/09 00:00,0.2248,VendorKR,L033,ENG3,EQP-03
PART-B01,Flatness,2025/01/09 06:00,0.1941,VendorKR,L034,ENG2,EQP-04
PART-B01,Flatness,2025/01/09 12:00,0.2175,VendorKR,L035,ENG1,EQP-02
PART-B01,Flatness,2025/01/09 18:00,0.2476,VendorKR,L036,ENG1,EQP-04
PART-B01,Flatness,2025/01/10 00:00,0.2406,VendorKR,L037,ENG1,EQP-01
PART-B01,Flatness,2025/01/10 06:00,0.1978,VendorKR,L038,ENG1,EQP-04
PART-B01,Flatness,2025/01/10 12:00,0.2096,VendorKR,L039,ENG2,EQP-03
PART-B01,Flatness,2025/01/10 18:00,0.2003,VendorKR,L040,ENG1,EQP-04
PART-B01,Flatness,2025/01/11 00:00,0.2096,VendorKR,L041,ENG1,EQP-01
PART-B01,Flatness,2025/01/11 06:00,0.2015,VendorKR,L042,ENG2,EQP-01
PART-B01,Flatness,2025/01/11 12:00,0.1715,VendorKR,L043,ENG3,EQP-01
PART-B01,Flatness,2025/01/11 18:00,0.2147,VendorKR,L044,ENG3,EQP-01
PART-B01,Flatness,2025/01/12 00:00,0.2396,VendorKR,L045,ENG1,EQP-04
PART-B01,Flatness,2025/01/12 06:00,0.2121,VendorKR,L046,ENG3,EQP-04
PART-B01,Flatness,2025/01/12 12:00,0.2123,VendorKR,L047,ENG1,EQP-01
PART-B01,Flatness,2025/01/12 18:00,0.235,VendorKR,L048,ENG2,EQP-04
PART-B01,Flatness,2025/01/13 00:00,0.1877,VendorKR,L049,ENG3,EQP-02
PART-B01,Flatness,2025/01/13 06:00,0.2508,VendorKR,L050,ENG2,EQP-01
PART-B01,Flatness,2025/01/13 12:00,0.2297,VendorKR,L051,ENG3,EQP-01
PART-B01,Flatness,2025/01/13 18:00,0.2439,VendorKR,L052,ENG2,EQP-01
PART-B01,Flatness,2025/01/14 00:00,0.1928,VendorKR,L053,ENG3,EQP-02
PART-B01,Flatness,2025/01/14 06:00,0.2292,VendorKR,L054,ENG2,EQP-01
PART-B01,Flatness,2025/01/14 12:00,0.1998,VendorKR,L055,ENG3,EQP-01
PART-B01,Flatness,2025/01/14 18:00,0.2218,VendorKR,L056,ENG1,EQP-04
PART-B01,Flatness,2025/01/15 00:00,0.1809,VendorKR,L057,ENG1,EQP-01
PART-B01,Flatness,2025/01/15 06:00,0.2078,VendorKR,L058,ENG1,EQP-04
PART-B01,Flatness,2025/01/15 12:00,0.2162,VendorKR,L059,ENG2,EQP-04
PART-B01,Flatness,2025/01/15 18:00,0.2239,VendorKR,L060,ENG2,EQP-02
